pmid	yearCreated	yearPublished	pmidRetraction	yearRetracted	retractionType
19413639	2009	2009	19817897	2009	RetractionIn
19406812	2009	2009	20068239	2010	RetractionIn
19403381	2009	2009	19967830	2009	RetractionIn
19400612	2009	2009	20217965	2010	RetractionIn
19400611	2009	2009	20217965	2010	RetractionIn
19399172	2009	2009	20221242	2010	RetractionIn
19387376	2009	2009	19662678	2009	RetractionIn
19381036	2009	2009	19891088	2009	RetractionIn
19379691	2009	2009	20873370	2010	RetractionIn
19367671	2009	2009	19670213	2009	RetractionIn
19359525	2009	2009	19940110	2009	RetractionIn
19352700	2009	2009	20112029	2010	RetractionIn
19334954	2009	2009	20192529	2010	RetractionIn
19321219	2009	2009	20615571	2010	RetractionIn
19309363	2009	2009	21265955	2011	RetractionIn
19306990	2009	2009	20050156	2010	RetractionIn
19300490	2009	2009	20020059	2009	RetractionIn
19298132	2009	2009	20235840	2010	RetractionIn
19293376	2009	2009	19357308	2009	RetractionIn
19290641	2011	2009	21314200	2009	RetractionIn
19289130	2009	2009	21077284	2010	RetractionIn
19288944	2009	2009	19449482	2009	RetractionIn
19285023	2009	2009	19725173	2009	RetractionIn
19276379	2009	2009	21045160	2010	RetractionIn
19271734	2009	2009	19827838	2009	RetractionIn
19265329	2009	2009	19421013	2009	RetractionIn
19261910	2009	2009	19948690	2009	RetractionIn
19257009	2009	2009	20373548	2010	RetractionIn
19256084	2009	2009	20082963	2010	RetractionIn
19254718	2009	2009	19760805	2009	RetractionIn
19253806	2009	2009	20198755	2010	RetractionIn
19251238	2009	2009	20452852	2010	RetractionIn
20976990	2010	2009	19678438	2009	RetractionIn
19215781	2009	2009	21360846	2011	RetractionIn
19237581	2009	2009	21127265	2010	RetractionIn
19236848	2009	2009	19725178	2009	RetractionIn
19229901	2009	2009	19472291	2009	RetractionIn
19182675	2009	2009	19337121	2009	RetractionIn
19203584	2009	2009	21458674	2011	RetractionIn
19199800	2010	2009	21520973	2011	RetractionIn
19196658	2009	2009	20383878	2010	RetractionIn
19193721	2009	2009	19643742	2009	RetractionIn
19183482	2009	2009	19374743	2009	RetractionIn
19181022	2009	2008	19678437	2009	RetractionIn
19179414	2009	2009	21177935	2011	RetractionIn
19164130	2009	2009	21357248	2011	RetractionIn
19153932	2009	2009	19890759	2010	RetractionIn
19152534	2009	2009	19878481	2009	RetractionIn
19151303	2009	2009	21451085	2011	RetractionIn
19151195	2009	2009	21123753	2010	RetractionIn
19142922	2009	2009	21125570	2010	RetractionIn
19139573	2009	2009	19609040	2009	RetractionIn
19136170	2009	2009	19344963	2009	RetractionIn
19128265	2009		20862807	2010	RetractionIn
19127202	2009	2009	19465845	2009	RetractionIn
19122277	2009	2009	19517630	2009	RetractionIn
19121620	2009	2009	19725179	2009	RetractionIn
19118527	2009	2009	21328799	2011	RetractionIn
19117302	2009	2009	19459165	2009	RetractionIn
19117294	2009	2009	19459165	2009	RetractionIn
19116866	2008	2009	20183618	2009	RetractionIn
19115107	2009	2009	19475506	2009	RetractionIn
19110737	2008	2008	19274879	2009	RetractionIn
19101586	2009	2009	20510735	2010	RetractionIn
19100512	2008	2009	19489159	2009	RetractionIn
19099434	2009	2009	20578759	2010	RetractionIn
19090072	2008	2008	19496286	2009	RetractionIn
19086961	2008	2008	19262535	2009	RetractionIn
19055698	2008	2008	19874555	2009	RetractionIn
