pmid	yearPublished	monthPublished	pmidRetraction	yearRetracted	monthRetracted	retractionType
10700237	2000	Mar	12949529	2003	Sep	RetractionIn
10705099	2000	Feb	16799408	2006	Jun	RetractionIn
10717780	1999	Nov	15504385	2004	Nov	RetractionIn
10720165	2000	Feb	10958843	2000	Sep	RetractionIn
10722567	2000	Apr	21177931	2011	Jan	RetractionIn
10733203	1999	Dec	18759949	2008	Aug	RetractionIn
10754111	2000	Apr	11707783	2001	Dec	RetractionIn
10755190	2000	Mar	19891639	2009	Dec	RetractionIn
3043903	1988	Jan	9669965	1998		RetractionIn
10781579	2000	Jul	17939191	2007	Sep	RetractionIn
10784445	2000	Apr	12416506	2002	Nov	RetractionIn
10786832	2000	Apr	16329169	2005	Nov	RetractionIn
10794503	2000		12408177	2002	Oct	RetractionIn
10806476	2000	May	16508674	2006	Mar	RetractionIn
10807577	2000	May	10970226	2000	Aug	RetractionIn
10811848	2000	May	20830824	2010	Sep	RetractionIn
10815922	2000	May	12473613	2002	Dec	RetractionIn
10820203	2000	Jun	11012314	2000	Sep	RetractionIn
10825206	2000	Jun	19474393	2009	Jun	RetractionIn
10839528	2000	May	16554801	2006	Mar	RetractionIn
10839591	2000	May	15166523	2004	May	RetractionIn
10848550	2000	Jun	17846256	2007	Sep	RetractionIn
10849424	2000	Sep	14610755	2003	Sep	RetractionIn
10856744	2000	Aug	11486751	2001	Jul	RetractionIn
10859202	2000	Jun	15824288	2005	Apr	RetractionIn
10871211	2000		12071259	2002	Apr	RetractionIn
10875912	2000	Jun	12416506	2002	Nov	RetractionIn
10892746	2000	Jun	12202042	2002	Aug	RetractionIn
10910269	2000	Jun	16926605	2006	Aug	RetractionIn
10910852	2000	Aug	19299812	2009	Apr	RetractionIn
10915159	2000	Jul	11883493	2001	Nov	RetractionIn
10915617	2000	Jul	12416506	2002	Nov	RetractionIn
10915623	2000	Jul	12775818	2003	May	RetractionIn
10921877	2000	Aug	12110603	2002	Jul	RetractionIn
10925314	2000	Aug	12097423	2002	Jul	RetractionIn
10960144	2000	Oct	11530779	2001	Sep	RetractionIn
10962043	2000	Sep	17441225	2007	Apr	RetractionIn
10963589	2000	Aug	12621443	2003	Mar	RetractionIn
10966782	2000	Aug	20355276	2010	Apr	RetractionIn
10985251	2000	Sep	16204650	2008	Mar	RetractionIn
10993888	2000	Dec	21584978			RetractionIn
10993934	2000	Oct	11602797	2001	Nov	RetractionIn
10994059	2000	May	11956557	2002	May	RetractionIn
10998614	2000	Oct	14667944	2003	Dec	RetractionIn
10999902	2000	Sep	14596229	2003	Oct	RetractionIn
11006278	2000	Dec	14982051	2004	Feb	RetractionIn
11007230	2000	Sep	20445528			RetractionIn
11018061	2000	Oct	12569089	2003	Feb	RetractionIn
11046336	2000	Jan	12698960	2003	Feb	RetractionIn
